part_num,name,part_cat_id,part_material
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,Baseplates,Plastic
0902,Baseplate 16 x 24 with Set 080 Small White House Print,Baseplates,Plastic
0903,Baseplate 16 x 24 with Set 080 Red House Print,Baseplates,Plastic
0904,Baseplate 16 x 24 with Set 080 Large White House Print,Baseplates,Plastic
10201,Bracket 1 x 2 - 1 x 4 [Rounded Corners],Plates Special,Plastic
10202,Tile 6 x 6 with Bottom Tubes,Tiles,Plastic
10247,Plate Special 2 x 2 with 1 Pin Hole [Complete Underside Rib],Plates Special,Plastic
10314,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top with Raised Inside Support",Bricks Curved,Plastic
104,Antenna 6H without Stud Hole,"Bars, Ladders and Fences",Plastic
10a,Baseplate 24 x 32 with Squared Corners,Baseplates,Plastic
10b,Baseplate 24 x 32 with Rounded Corners,Baseplates,Plastic
11002,Plate Special 2 x 2 with Wheels Holder Wide [Reinforced Underside],Plates Special,Plastic
11062,Lamp Post 2 x 2 x 7 with 4 Base Flutes,"Bars, Ladders and Fences",Plastic
11090,Bar Holder with Clip,"Bars, Ladders and Fences",Plastic
11094,"Wheel Hard Plastic, Treaded with 7 Pin Holes and 6 Small Holes",Wheels and Tyres,Plastic
11153,Slope Curved 4 x 1 No Studs [Stud Holder with Symmetric Ridges],Bricks Curved,Plastic
11203,Tile Special 2 x 2 Inverted,Tiles Special,Plastic
11208,"Wheel 14mm D. x 9.9mm with Centre Groove, Fake Bolts and 6 Spokes",Wheels and Tyres,Plastic
11209,Tyre 21 x 9.9,Wheels and Tyres,Rubber
11211,Brick Special 1 x 2 with 2 Studs on 1 Side,Bricks Special,Plastic
11212,Plate 3 x 3,Plates,Plastic
11213,Plate Round 6 x 6 with Hole,Plates Round Curved and Dishes,Plastic
11215,Bracket 5 x 2 x 1 1/3,Plates Special,Plastic
11216,Door 1 x 12 x 16 Castle Gate (Portcullis),Windows and Doors,Plastic
1126,Tile Round 1 x 2,Tiles Round and Curved,Plastic
11267,Slide Curved 180°,Bricks Special,Plastic
11290,Slope Curved 2 x 8 x 2 Double,Bricks Curved,Plastic
11299,Ladder 16 x 3.5 with Side Supports,"Bars, Ladders and Fences",Plastic
11301,"Slope, Curved 2 x 8 x 2 Inverted Double",Bricks Curved,Plastic
11399,Plate Special 4 x 4 with Clips Horizontal (thick open O clips),Plates Special,Plastic
11458,Plate Special 1 x 2 with Pin Hole on Top,Plates Special,Plastic
11476,Plate Special 1 x 2 with Clip Horizontal on Side,Plates Special,Plastic
11477,Slope Curved 2 x 1 No Studs [1/2 Bow],Bricks Curved,Plastic
11767,Fly Wheel with Plate 2 x 8 and Dark Azure Tire [Complete Assembly] (Rip Cord Base),Wheels and Tyres,Plastic
11833,Plate Round 4 x 4 with 2 x 2 Round Opening,Plates Round Curved and Dishes,Plastic
11957,Tyre 100.6 x 22 Motorcycle,Wheels and Tyres,Rubber
122c01,Plate Special 2 x 2 with Wheels Red,Wheels and Tyres,Plastic
122c02,Plate Special 2 x 2 with Wheels White,Wheels and Tyres,Plastic
12825,Tile Special 1 x 1 with Clip with Rounded Tips,Tiles Special,Plastic
12939,Brick Arch 1 x 6 x 2 - Very Thin Top without Reinforced Underside,Bricks Curved,Plastic
13547,Slope Curved 4 x 1 Inverted,Bricks Curved,Plastic
13731,Brick Curved 10 x 1 [Symmetric Inside Ridges],Bricks Curved,Plastic
13965,Brick Arch 1 x 3 x 3 [Gothic],Bricks Curved,Plastic
13971,Wheel 18 x 8 with Fake Bolts and Deep Spokes with Inner Ring,Wheels and Tyres,Plastic
14181,Wedge Plate 4 x 9 with Stud Notches,Plates Angled,Plastic
14395,"Brick Arch 1 x 5 x 4 [Continuous Bow, Raised Underside Cross Supports]",Bricks Curved,Plastic
14417,Plate Special 1 x 2 with 5.9mm Centre Side Towball,Plates Special,Plastic
14418,Plate Special 1 x 2 5.9mm End Cup,Plates Special,Plastic
14419,Plate Special 1 x 2 with 5.9mm End Cup and Towball,Plates Special,Plastic
14520,Brick Special 2 x 4 - 1 x 4 with 2 Recessed Studs and Thin Side Arches,Bricks Special,Plastic
14704,Plate Special 1 x 2 5.9mm Centre Side Cup,Plates Special,Plastic
14707,Brick Arch 1 x 12 x 3 Raised Arch,Bricks Curved,Plastic
14716,Brick 1 x 1 x 3,Bricks,Plastic
14718,Panel 1 x 4 x 2 with Side Supports - Hollow Studs,Panels,Plastic
14719,Tile 2 x 2 Corner,Tiles,Plastic
14769,Tile Round 2 x 2 with Bottom Stud Holder,Tiles Round and Curved,Plastic
15038,Wheel 56 x 34 Technic Racing Medium with 6 Pin Holes,Wheels and Tyres,Plastic
15068,Slope Curved 2 x 2 x 2/3,Bricks Curved,Plastic
15070,Plate Special 1 x 1 with Vertical Tooth,Plates Special,Plastic
15092,Plate 2 x 2 with 2 Pins,Plates Special,Plastic
15108,Plate Modified 2 x 2 with Pin Hole on Side and Axle Hole on Bottom,Plates Special,Plastic
15118,Ladder 16 x 2.5,"Bars, Ladders and Fences",Plastic
15207,Panel 1 x 4 x 1 with Rounded Corners [Thin Wall],Panels,Plastic
15208,Plate Special 1 x 2 with Three Teeth [Tri-Tooth],Plates Special,Plastic
15209,Tile Special 1 x 2 with Two Vertical Teeth / Tooth,Tiles Special,Plastic
15254,Brick Arch 1 x 6 x 2 - Thin Top without Reinforced Underside [New Version],Bricks Curved,Plastic
15332,Fence Spindled 1 x 4 x 2 [4 Top Studs],"Bars, Ladders and Fences",Plastic
15395,Brick Round 2 x 2 Dome Bottom [Open Stud],Bricks Round and Cones,Plastic
15397,Plate 3 x 3 Cross,Plates,Plastic
15411,Brick Special 1 x 1 with Stud on Side and Conductive Element on Opposite Side,Bricks Special,Plastic
15413,Tyre 49.53 x 20,Wheels and Tyres,Rubber
15444,Brick Special 1 x 1 x 2 with Extra Tube Side [Piece of Resistance],Bricks Special,Plastic
15456,Plate Special 2 x 2 with Towball and Hole,Plates Special,Plastic
15470,Plate Round 1 x 1 Swirled Top,Plates Round Curved and Dishes,Plastic
15533,Brick Special 1 x 4 with Masonry Brick Profile,Bricks Special,Plastic
15535,Tile Round 2 x 2 with Hole,Tiles Special,Plastic
15571,Slope 45° 2 x 1 Triple with Inside Stud Holder,Bricks Sloped,Plastic
15573,Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper),Plates Special,Plastic
15624,Brick Special 8 x 8 with 1 x 4 Indentations and 1 x 4 Plate,Bricks Special,Plastic
15625,Slope Curved 5 x 8 x 2/3,Bricks Curved,Plastic
15626,Panel 4 x 16 x 10 with Gate [Plain],Panels,Plastic
15627,Panel 1 x 6 x 6 with Window,Panels,Plastic
15672,Slope 45° 2 x 1 with 2/3 Cutout [New Version],Bricks Sloped,Plastic
15706,Plate Special 4 Stud 45° Angle Plate,Plates Special,Plastic
15712,Tile Special 1 x 1 with Clip with Rounded Edges,Tiles Special,Plastic
16577,Brick Arch 1 x 8 x 2 Raised,Bricks Curved,Plastic
1745,Plate Round 1 x 2 Half Circle with Stud (Jumper),Plates Special,Plastic
17454,Train Front 2 x 6 x 2,Windows and Doors,Plastic
17457,Glass for Train Front 2 x 6 x 2,Windows and Doors,Plastic
1748,Tile Round 1 x 2 Half Circle,Tiles Round and Curved,Plastic
17485,Brick Round 2 x 2 with Pin Holes,Bricks Round and Cones,Plastic
1750,Slope Curved 2 x 2 Inverted,Bricks Curved,Plastic
1751,Tile 4 x 4,Tiles,Plastic
184,Baseplate 16 x 18,Baseplates,Plastic
18450,Tyre 81.6 x 44 R,Wheels and Tyres,Rubber
18585,Brick Special 2 x 4 with Pin Holes and Flywheel Socket [Airjitzu],Bricks Special,Plastic
18601,Plate Special 12 x 24 with 6 x 6 Square Cutouts at 2 Corners and 6 x 6 Round Cutout,Plates Special,Plastic
18646,Plate Round Half 3 x 6 with 1 x 2 Cutout,Plates Round Curved and Dishes,Plastic
18649,Plate Special 1 x 2 with Handles on Ends,Plates Special,Plastic
18653,Brick Arch 1 x 3 x 2 Inverted [Inside Bow],Bricks Curved,Plastic
18671,Bracket 3 x 2 x 1 1/3 with Pin Bottom,Plates Special,Plastic
18674,Plate Special Round 2 x 2 with Center Stud (Jumper Plate),Plates Special,Plastic
18675,Dish 6 x 6 Inverted - No Studs with Handle,Plates Round Curved and Dishes,Plastic
18677,Plate Special 1 x 2 with Pin Hole Underneath,Plates Special,Plastic
1871,Brick Round 1 x 1 x 1 1/3 Quarter Dome,Bricks Round and Cones,Plastic
18759,Slope Inverted 45° 3 x 1 Double with 2 Blocked Open Studs,Bricks Sloped,Plastic
18838,Brick Arch 1 x 12 x 3 Raised Arch with 5 Cross Supports,Bricks Curved,Plastic
18859,Dish 8 x 8 Inverted [Radar] with Hollow Studs,Plates Round Curved and Dishes,Plastic
18892,"Brick Special 2 x 4 with Wheels Holder, Single Slit with 2 x 2 Cutout",Bricks Special,Plastic
18897,Brick Round 6 x 6 with 4 Side Pin Holes and Center Hole,Bricks Round and Cones,Plastic
18909,Cone Half 6 x 3 x 6 (Elliptic Paraboloid),Bricks Round and Cones,Plastic
18922,Brick Special 8 x 16 with 1 x 4 Indentations and 1 x 4 Plate,Bricks Special,Plastic
18969,Panel 4 x 4 x 13 Curved Tapered with Clip at Each End,Panels,Plastic
18975,Brick Special 2 x 4 x 1 1/3 with Holes and 2 x 2 Cutout,Bricks Special,Plastic
18976,Wheel 18 x 12 with Axle Hole and Stud,Wheels and Tyres,Plastic
18977,Tyre 24 x 12 Low Profile,Wheels and Tyres,Rubber
18978a,Wheel Cover 5 Spoke - for Wheel 18976,Wheels and Tyres,Plastic
18978b,Wheel Cover 10 Spoke - for Wheel 18976,Wheels and Tyres,Plastic
18979a,Wheel Cover 10 Spoke T Shape - for Wheel 18976,Wheels and Tyres,Plastic
18979b,Wheel Cover 7 Spoke Y Shape - for Wheel 18976,Wheels and Tyres,Plastic
18980,Plate Round Corners 2 x 6 Double,Plates Round Curved and Dishes,Plastic
19121,Fence Ornamented 1 x 4 x 2 with 4 Studs,"Bars, Ladders and Fences",Plastic
19215,Wheel Cover 5 Spoke Thick with Edge Bolts,Wheels and Tyres,Plastic
20309,Window 1 x 4 x 1 2/3 with Spoked Rounded Top,Windows and Doors,Plastic
20310,Brick Special 1 x 1 with Scroll with Open Stud,Bricks Special,Plastic
2039,Lamp Post 2 x 2 x 7 with 6 Base Flutes,"Bars, Ladders and Fences",Plastic
2040,Fabuland Fence 1 x 6 x 2 Rounded,"Bars, Ladders and Fences",Plastic
20455,Dome Hemisphere 5 x 9 x 5 1/3 with 2 x 2 Studs on Top,Bricks Round and Cones,Plastic
2046,Stairs 6 x 6 x 9 1/3 Curved Enclosed,"Bars, Ladders and Fences",Plastic
20482,Tile Round 1 x 1 with Hollow Bar,Tiles Special,Plastic
20612,"Plate Special 1 x 1 with Stud, 3 Bars and 3 Bar Holes",Plates Special,Plastic
20952,Brick Round 1.5 x 1.5 Dome Top [Plain],Bricks Round and Cones,Plastic
20953,Brick Round 2 x 2 Sphere with Stud [Plain],Bricks Round and Cones,Plastic
210,Baseplate 16 x 22,Baseplates,Plastic
21229,Fence Spindled 4 x 4 x 2 Quarter Round with 3 Studs,"Bars, Ladders and Fences",Plastic
21445,"Plate Special 1 x 2 with Wheel Holder, Single Slit",Plates Special,Plastic
21699,Lightsaber Blade with Cross,"Bars, Ladders and Fences",Plastic
22253,Wheel 49.6 x 28 VR with X Axle Hole,Wheels and Tyres,Plastic
22385,Tile Special 2 x 3 Pentagonal,Tiles Special,Plastic
22387,Panel 2 x 6 x 6 with Window Slot,Panels,Plastic
22388,Slope 45° 1 x 1 x 2/3 Quadruple Convex [Pyramid],Bricks Sloped,Plastic
22410,"Wheel Hard Plastic, Treaded with 7 Pin Holes (37mm D. x 22mm)",Wheels and Tyres,Plastic
22484,Bar 2L with Towball,"Bars, Ladders and Fences",Plastic
22885,Brick Special 1 x 2 x 1 2/3 with 4 Studs on 1 Side,Bricks Special,Plastic
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,Bricks,Plastic
